,central_d,delay,event_label,event_length,event_recalled,events,fc,movie,net1_label,net2_label,path_length,percent_events,peri_d,subject,window,fc_mc,boundary_diff
142,0.0,0,3,51.0,1.0,3,0.46043680442261853,barmaid,postHC,PMN,,0.6428571428571429,2.5,sub-112,offset,0.40685512595714607,-0.3782942146062851
143,0.0,0,4,24.0,0.0,4,-0.26248170137523713,barmaid,postHC,PMN,,0.6428571428571429,0.0,sub-112,offset,-0.3160633798407096,-0.3806510642170906
144,2.0,0,5,91.0,1.0,5,-0.18422721305887066,barmaid,postHC,PMN,,0.6428571428571429,6.5,sub-112,offset,-0.23780889152434315,0.630349482409656
145,0.0,0,6,41.0,0.0,6,-0.09381496407460044,barmaid,postHC,PMN,,0.6428571428571429,0.0,sub-112,offset,-0.1473966425400729,-1.1020094752311707
146,1.5,0,7,98.0,1.0,7,-0.029987662950619543,barmaid,postHC,PMN,,0.6428571428571429,5.0,sub-112,offset,-0.08356934141609201,0.058359794318675995
147,1.5,0,8,31.0,1.0,8,0.5528719529336773,barmaid,postHC,PMN,,0.6428571428571429,4.0,sub-112,offset,0.49929027446820484,0.08474780060350895
148,0.0,0,9,36.0,0.0,9,0.37028927118577354,barmaid,postHC,PMN,,0.6428571428571429,0.0,sub-112,offset,0.3167075927203011,-1.2694689333438873
149,0.0,0,10,55.0,1.0,10,-0.4990750021931451,barmaid,postHC,PMN,,0.6428571428571429,8.0,sub-112,offset,-0.5526566806586176,1.6264255940914154
150,1.0,0,11,63.0,1.0,11,0.19847674819347214,barmaid,postHC,PMN,,0.6428571428571429,1.0,sub-112,offset,0.14489506972799965,-2.589514970779419
151,0.0,0,12,63.0,0.0,12,-0.49007259162910993,barmaid,postHC,PMN,,0.6428571428571429,0.0,sub-112,offset,-0.5436542700945824,-0.4051996320486069
152,1.0,0,13,81.0,1.0,13,0.39088600404249013,barmaid,postHC,PMN,,0.6428571428571429,0.0,sub-112,offset,0.33730432557701767,-0.5282395482063293
